entity,modality,mechanism,evidence_status,grade,provenance,gene,cui,efficacy_offset_e,R_treat,evidence_tier,definition_corroborated,definition_category,definition_phrase,mechanism_established,source_class,obstacle_for_L
21-Hydroxylase-Deficient Congenital Adrenal Hyperplasia,glucocorticoid replacement with mineralocorticoid in salt-wasting forms,corrects cortisol deficiency and suppresses ACTH-driven adrenal androgen excess; mineralocorticoid corrects salt-wasting,disease-modifying (substantial),[H],established standard of care; source class: GeneReviews Management; OMIM clinical management; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),CYP21A2,C2936858,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; OMIM clinical management,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Achondrogenesis type II,no disease-directed therapy (perinatal-lethal skeletal dysplasia); perinatal palliative care,no disease-directed therapy exists,none,[H],established standard of care; source class: GeneReviews; OMIM clinical synopsis; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),COL2A1,C0220685,0.0000,1.0000,standard_of_care,no,,,yes,GeneReviews; OMIM clinical synopsis,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Achondroplasia,"CNP analog (vosoritide) for growth, with orthopedic management and foramen-magnum decompression where indicated",vosoritide antagonizes FGFR3 downstream MAPK signaling to promote endochondral growth,disease-modifying (partial),[H],established standard of care; source class: GeneReviews Management; FDA label; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),FGFR3,C0001080,0.3000,0.7000,standard_of_care,no,,,yes,GeneReviews Management; FDA label,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Acute intermittent porphyria,"hemin for acute attacks and givosiran (siRNA) for prophylaxis, with trigger avoidance and carbohydrate loading","hemin and givosiran downregulate hepatic ALAS1, lowering neurotoxic ALA and porphobilinogen",disease-modifying (substantial),[H],established standard of care; source class: GeneReviews Management; FDA label; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),HMBS,C0162565,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; FDA label,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Alkaptonuria,nitisinone (homogentisic-acid lowering) with supportive joint care,"nitisinone inhibits 4-hydroxyphenylpyruvate dioxygenase, reducing homogentisic-acid production",disease-modifying (partial),[H],established standard of care; source class: GeneReviews Management; OMIM clinical management; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),HGD,C0002066,0.3000,0.7000,standard_of_care,no,,,yes,GeneReviews Management; OMIM clinical management,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Alpha-1-antitrypsin deficiency,alpha-1-antitrypsin augmentation therapy with smoking cessation; liver transplant for end-stage liver disease,intravenous pooled AAT raises serum and lung antiprotease levels,disease-modifying (partial),[H],established standard of care; source class: GeneReviews Management; FDA label; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),SERPINA1,C0221757,0.3000,0.7000,standard_of_care,no,,,yes,GeneReviews Management; FDA label,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Becker muscular dystrophy,supportive care with cardiac surveillance and management; no Becker-specific disease-modifying therapy established,supportive and cardiac management,symptomatic,[H],established standard of care; source class: GeneReviews Management; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),DMD,C0917713,0.1000,0.9000,standard_of_care,no,,,no,GeneReviews Management,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Beta-thalassemia HBB/LCRB,regular red-blood-cell transfusion with iron chelation,transfusion supplies functional hemoglobin; chelation removes transfusional iron overload,disease-modifying (substantial),[H],"cited MedGen clinical_definition (in-package [L] source) — matched treatment-efficacy phrase: ""chelation"" [modality: chelation therapy]",HBB,CN322236,0.5500,0.4500,definition,yes,modality,chelation,yes,cited MedGen clinical_definition; GeneReviews Management,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Classic homocystinuria,pyridoxine (B6) in responsive individuals; methionine-restricted diet with betaine in non-responsive individuals,B6 augments residual CBS activity; betaine remethylates homocysteine; diet limits methionine load,disease-modifying (substantial),[H],established standard of care; source class: GeneReviews Management; OMIM clinical management; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),CBS,C0751202,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; OMIM clinical management,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
Cystic fibrosis,CFTR modulator therapy (corrector + potentiator) with airway clearance and pancreatic enzyme replacement,CFTR modulators restore folding and channel gating of mutant CFTR protein,disease-modifying (substantial),[H],established standard of care; source class: GeneReviews Management; FDA label; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),CFTR,C0010674,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; FDA label,accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet)
