entity,medgen_cui,medgen_uid,omim_mim,genes,inheritance_class,inheritance_source,inheritance_grade,mechanism_class,semantic_type,organ_system_hint,in_scope,clinical_definition
Cystic fibrosis,C0010674,41393,219700,CFTR;FCGR2A;TGFB1,Autosomal recessive inheritance,medgen:esummary:ModeOfInheritance:2026-06-17,[L],PENDING_R2,{'value': 'Disease or Syndrome'},pulmonary_exocrine,true,"Cystic fibrosis (CF) is a multisystem disease affecting epithelia of the respiratory tract, exocrine pancreas, intestine, hepatobiliary system, and exocrine sweat glands. Morbidities include recurrent sinusitis and bronchitis, progressive obstructive pulmonary disease with bronchiectasis, exocrine pancreatic deficiency and malnutrition, pancreatitis, gastrointestinal manifestations (meconium ileus, rectal prolapse, distal intestinal obstructive syndrome), liver disease, diabetes, male infertility due to hypoplasia or aplasia of the vas deferens, and reduced fertility or infertility in some women. Pulmonary disease is the major cause of morbidity and mortality in CF."
Beta-thalassemia HBB/LCRB,CN322236,1001603,613985,HBB;HBB-LCR,not_stated,medgen:esummary:ModeOfInheritance:2026-06-17,[O],PENDING_R2,{'value': 'Disease or Syndrome'},hematologic,true,"Beta-thalassemia (ß-thalassemia) has two clinically significant forms, ß-thalassemia major and ß-thalassemia intermedia, caused by absent or reduced synthesis of the hemoglobin subunit beta (beta globin chain). Individuals with ß-thalassemia major present between ages six and 24 months with pallor due to severe anemia, poor weight gain, stunted growth, mild jaundice, and hepatosplenomegaly. Feeding problems, diarrhea, irritability, and recurrent bouts of fever may occur. Treatment with regular red blood cell transfusions and iron chelation therapy allows for normal growth and development and improves prognosis. Long-term complications associated with iron overload include stunted growth, dilated cardiomyopathy, liver disease, and endocrinopathies. Individuals with ß-thalassemia intermedia have a more variable age of presentation due to milder anemia that does not require regular red blood cell transfusions from early childhood. Additional clinical features may include jaundice, cholelithiasis, hepatosplenomegaly, skeletal changes (long bone deformities, characteristic craniofacial features, and osteoporosis), leg ulcers, pulmonary hypertension, extramedullary masses of hyperplastic erythroid marrow, and increased risk of thrombotic complications. Individuals with ß-thalassemia intermedia are at risk for iron overload secondary to increased intestinal absorption of iron as a result of dysregulation of iron metabolism caused by ineffective erythropoiesis."
Marfan syndrome,C0024796,44287,154700,FBN1,Autosomal dominant inheritance,medgen:esummary:ModeOfInheritance:2026-06-17,[L],PENDING_R2,{'value': 'Disease or Syndrome'},connective_skeletal,true,"FBN1-related Marfan syndrome (Marfan syndrome), a systemic disorder of connective tissue with a high degree of clinical variability, comprises a broad phenotypic continuum ranging from mild (features of Marfan syndrome in one or a few systems) to severe and rapidly progressive neonatal multiorgan disease. Cardinal manifestations involve the ocular, skeletal, and cardiovascular systems. Ocular findings include myopia (>50% of affected individuals); ectopia lentis (seen in approximately 60% of affected individuals); and an increased risk for retinal detachment, glaucoma, and early cataracts. Skeletal system manifestations include bone overgrowth and joint laxity; disproportionately long extremities for the size of the trunk (dolichostenomelia); overgrowth of the ribs that can push the sternum in (pectus excavatum) or out (pectus carinatum); and scoliosis that ranges from mild to severe and progressive. The major morbidity and early mortality in Marfan syndrome relate to the cardiovascular system and include dilatation of the aorta at the level of the sinuses of Valsalva (predisposing to aortic tear and rupture), mitral valve prolapse with or without regurgitation, tricuspid valve prolapse, and enlargement of the proximal pulmonary artery. Severe and prolonged regurgitation of the mitral and/or aortic valve can predispose to left ventricular dysfunction and occasionally heart failure. With proper management, the life expectancy of someone with Marfan syndrome approximates that of the general population."
Osteogenesis imperfecta,C0029434,45246,,COL1A1;COL1A2,Autosomal dominant inheritance; Autosomal recessive inheritance; X-linked recessive inheritance,medgen:esummary:ModeOfInheritance:2026-06-17,[L],PENDING_R2,{'value': 'Disease or Syndrome'},connective_skeletal,true,"COL1A1- and COL1A2-related osteogenesis imperfecta (COL1A1/COL1A2-OI) is characterized by fractures (often with minimal or absent trauma), variable dentinogenesis imperfecta (DI), and hearing loss (typically in adult years). The severity of COL1A1/COL1A2-OI ranges from perinatal lethality; individuals with severe skeletal deformities, mobility impairments, and very short stature; to individuals with a slight predisposition to fractures and normal dentition, stature, and life span. Fractures can occur in any bone but are most common in the extremities. DI is characterized by gray or brown teeth that may appear translucent and wear down or break easily. COL1A1/COL1A2-OI is classified into four types based on clinical presentation and radiographic findings. This classification system, although imperfect, can be helpful in providing information about prognosis and management for a given individual. The four more common OI types are now referred to as follows: classic non-deforming OI with blue sclerae (previously OI type I), perinatally lethal OI (previously OI type II), progressively deforming OI (previously OI type III), common variable OI with normal sclerae (previously OI type IV)."
Phenylketonuria,C0031485,19244,261600,PAH,Autosomal recessive inheritance,medgen:esummary:ModeOfInheritance:2026-06-17,[L],PENDING_R2,{'value': 'Disease or Syndrome'},metabolic,true,"The phenotypes in individuals with phenylalanine hydroxylase (PAH) deficiency include PAH deficiency treated from birth and late-diagnosed or untreated PAH deficiency. Maternal phenylketonuria (MPKU) syndrome occurs in offspring of mothers with inadequately treated PAH deficiency during pregnancy and results from the toxic effects of elevated blood phenylalanine (Phe) concentrations on the developing fetus. PAH deficiency treated from birth is characterized by the following, even with adherence to a low Phe diet: (1) a modest but measurable decrease in intellectual functioning as well variable impairments in executive function, attention, and fine motor functions; (2) an increased prevalence of mental health concerns including anxiety and depression; and (3) neurologic problems (including hypertonia, paraplegia, movement disorders, and seizures), which may improve or resolve with lowering blood Phe concentration. Late-diagnosed or untreated PAH deficiency is characterized by irreversible neurocognitive impairment (intellectual disability), neurobehavioral/psychological issues, neurologic manifestations (motor disturbances including movement disorders and seizures), and microcephaly. Although lowering blood Phe concentration sometimes improves neurobehavioral/psychological issues and motor disturbances, it does not reduce neurocognitive impairment. MPKU syndrome is characterized by intellectual disability, neurobehavioral/psychiatric manifestations, congenital heart defects, and other birth defects."
Gaucher disease,C0017205,42164,,,Autosomal recessive inheritance,medgen:esummary:ModeOfInheritance:2026-06-17,[L],PENDING_R2,{'value': 'Disease or Syndrome'},lysosomal,true,"Gaucher disease (GD) encompasses a continuum of clinical findings from a perinatal-lethal disorder to an asymptomatic type. The characterization of three major clinical types (1, 2, and 3) and two clinical forms (perinatal-lethal and cardiovascular) is useful in determining prognosis and management. Cardiopulmonary complications have been described with all the clinical phenotypes, although varying in frequency and severity. Type 1 GD is characterized by the presence of clinical or radiographic evidence of bone disease (osteopenia, focal lytic or sclerotic lesions, and osteonecrosis), hepatosplenomegaly, anemia, thrombocytopenia, lung disease, and the absence of primary central nervous system disease. Type 2 GD is characterized by primary central nervous system disease with onset before age two years, limited psychomotor development, and a rapidly progressive course with death by age two to four years. Type 3 GD is characterized by primary central nervous system disease with childhood onset, a more slowly progressive course, and survival into the third or fourth decade. The perinatal-lethal form is associated with ichthyosiform or collodion skin abnormalities or with nonimmune hydrops fetalis. The cardiovascular form is characterized by calcification of the aortic and mitral valves, mild splenomegaly, corneal opacities, and supranuclear ophthalmoplegia."
Fabry disease,C0002986,8083,301500,GLA,X-linked dominant inheritance; X-linked recessive inheritance,medgen:esummary:ModeOfInheritance:2026-06-17,[L],PENDING_R2,{'value': 'Disease or Syndrome'},lysosomal,true,"Fabry disease is the most common of the lysosomal storage disorders and results from deficient activity of the enzyme alpha-galactosidase A (a-Gal A), leading to progressive lysosomal deposition of globotriaosylceramide and its derivatives in cells throughout the body. The classic form, occurring in males with less than 1% a-Gal A enzyme activity, usually has its onset in childhood or adolescence with periodic crises of severe pain in the extremities (acroparesthesia), the appearance of vascular cutaneous lesions (angiokeratomas), sweating abnormalities (anhidrosis, hypohidrosis, and rarely hyperhidrosis), characteristic corneal and lenticular opacities, and proteinuria. Gradual deterioration of kidney function to end-stage kidney disease (ESKD) usually occurs in men in the third to fifth decade. In middle age, most males successfully treated for ESKD develop cardiac and/or cerebrovascular disease, a major cause of morbidity and mortality. Heterozygous females typically have milder symptoms at a later age of onset than males. Rarely, females may be relatively asymptomatic throughout a normal life span or may have symptoms as severe as those observed in males with the classic phenotype. In contrast, late-onset forms occur in males with greater than 1% a-Gal A activity. Clinical manifestations include cardiac disease, which usually presents in the sixth to eighth decade with left ventricular hypertrophy, cardiomyopathy, arrhythmia, and proteinuria; kidney failure, associated with ESKD but without the skin lesions or pain; or cerebrovascular disease presenting as stroke or transient ischemic attack."
Wilson disease,C0019202,42426,277900,ATP7B,Autosomal recessive inheritance,medgen:esummary:ModeOfInheritance:2026-06-17,[L],PENDING_R2,{'value': 'Disease or Syndrome'},hepatic,true,"Wilson disease is a disorder of copper metabolism that, when untreated, can present with hepatic, neurologic, or psychiatric disturbances – or a combination of these – in individuals ages three years to older than 70 years. Manifestations in untreated individuals vary among and within families. Liver disease can include recurrent jaundice, simple acute self-limited hepatitis-like illness, autoimmune-type hepatitis, fulminant hepatic failure, or chronic liver disease. Neurologic presentations can include dysarthria, movement disorders (tremors, involuntary movements, chorea, choreoathetosis), dystonia (mask-like facies, rigidity, gait disturbance, pseudobulbar involvement), dysautonomia, seizures, sleep disorders, or insomnia. Psychiatric disturbances can include depression, bipolar disorder / bipolar spectrum disorder, neurotic behaviors, personality changes, or psychosis. Other multisystem involvement can include the eye (Kayser-Fleischer rings), hemolytic anemia, the kidneys, the endocrine glands, and the heart."
Hemochromatosis type 1,C3469186,854011,235200,BMP2;HFE,Autosomal recessive inheritance,medgen:esummary:ModeOfInheritance:2026-06-17,[L],PENDING_R2,{'value': 'Disease or Syndrome'},hematologic,true,"HFE-related hemochromatosis (HFE HC) is characterized by increased intestinal iron absorption and increased recycling of iron derived from senescent red blood cells. The phenotypic spectrum of HFE HC includes clinical HFE HC (increased serum ferritin and transferrin saturation and end-organ damage secondary to iron overload), biochemical HFE HC (increased serum ferritin and transferrin saturation without end-organ damage), and non-penetrant HFE HC (neither clinical manifestations of HFE HC nor iron overload are present, although elevated transferrin saturation may occur). Clinical HFE HC is characterized by excessive iron in the liver, pancreas, heart, skin, joints, and anterior pituitary gland. In untreated individuals, early manifestations include weakness, chronic fatigue, abdominal pain, weight loss, arthralgias, and diabetes mellitus. Individuals with HFE HC have an increased risk of cirrhosis when their serum ferritin is higher than 1,000 µg/L. Other findings of severe iron overload include hypogonadism, congestive heart failure, arrhythmias, and progressive increase in skin pigmentation. Clinical HFE HC is more common in males than females."
Hereditary factor VIII deficiency disease,C0019069,5501,306700,F8,X-linked recessive inheritance,medgen:esummary:ModeOfInheritance:2026-06-17,[L],PENDING_R2,{'value': 'Disease or Syndrome'},metabolic,true,"Hemophilia A is characterized by deficiency in factor VIII clotting activity that results in prolonged bleeding after injuries, tooth extractions, or surgery, and delayed or recurrent bleeding prior to complete wound healing. The age of diagnosis and frequency of bleeding episodes are related to the level of factor VIII clotting activity. Severe hemophilia A: Individuals are usually diagnosed during the first two years of life following oral or soft tissue bleeding either with procedures or due to a known family history of hemophilia. Without prophylactic treatment, individuals may average up to two to five spontaneous bleeding episodes each month including spontaneous joint bleeds or deep-muscle hematomas, and prolonged bleeding or excessive pain and swelling from minor injuries, surgery, and tooth extractions. Moderate hemophilia A: Less frequent spontaneous bleeding, although it varies between individuals. Affected individuals have prolonged or delayed bleeding after relatively minor trauma and are usually diagnosed before age five to six years; the frequency of bleeding episodes varies, usually from once a month to once a year. Mild hemophilia A: Individuals generally do not have spontaneous bleeding episodes; however, without pre- and postoperative treatment, abnormal bleeding occurs with surgery or tooth extractions. The frequency of bleeding episodes varies widely, typically from once a year to once every ten years. Individuals with mild hemophilia A are often not diagnosed until later in life. Heterozygous females: Approximately 30% of heterozygous females have factor VIII clotting activity below 40% and are at risk for bleeding (even if males in the family are only mildly affected). After major trauma or invasive procedures, prolonged or excessive bleeding usually occurs, regardless of severity. In addition, 25% of heterozygous females with normal factor VIII clotting activity report an increased bleeding tendency."
