region,site,present_state,observable_type,record_date_bce,continuity_flag,source_tag
Egypt,Memphis-Saqqara-Giza,royal monumental masonry lapses; large pyramids cease for ~2 centuries,masonry_grade_drop+gap,2181,0,FIP_record
Mesopotamia,Akkad-southern-Euphrates,southern river-flow retraction with settlement abandonment,settlement_abandonment,2154,0,PNAS2022
LowerYangtze,Liangzhu-City,city abandoned; waterlain silt/clay caps the late cultural layer,flood_silt_superposition,2300,0,SciAdv2021
Indus,Mohenjo-daro-Harappa,de-standardised maintenance/squatter occupation over the planned urban phase,standardization_loss+superposition,1900,0,LateHarappan
Britain,Stonehenge-Wessex,large communal-monument construction winds down after the sarsen phase,monument_decline,2500,0,Neolithic_EBA
Scotland,Skara-Brae,stone village abandoned; wind-blown sand over the occupation,abandonment_superposition,2500,0,Orkney
Egypt,Tell-Edfu-Dendera,Upper-Egypt towns expand and flourish; possible population increase,settlement_continuity,2150,1,NatGeo2021
Egypt,FIP-skeletal-series,first-intermediate skeletons show no famine signature and no violent-death spike,skeletal_continuity,2150,1,NatGeo2021_Duhig
Egypt,southern-Middle-Egypt,settlement continuity and expansion while the delta retracts,settlement_continuity,2150,1,PNAS2022
Britain,Beaker-Early-Bronze-Age,vigorous metal-using individual-burial culture; round barrows,culture_continuity,2400,1,EBA
China,Luoyang-Basin-Longshan,less affected; the culture continues to develop and thrive,culture_continuity,2100,1,FourTwoKa
China,millet-cultivation,no discernible impact on the spread of millet cultivation,subsistence_continuity,2100,1,FourTwoKa
