slug_candidate,term,physics_sections,rationale,backlink_targets
volume-particle,Volume Particle (VP),S2-3,엔티티 정의 페이지(약칭 VP 충돌 해소),physics 허브
jamming-point,Jamming point / phi_jam = 0.633,"S3.2,S12",0.633 비동일 선언의 정위치,"physics, fluid-dynamics"
jamming-spine,Jamming spine (c^2 = B/rho),S11.6,대표결과 1의 기계적 근거,"physics, geodynamics"
rectification-alpha,alpha = 2/pi (rectification),S5.1,alpha_em과의 충돌 해소 페이지,physics
fine-structure-constant,alpha_em (NOT derived),S14.5,경계 질의 착지점(B1/B2),physics
quantum-diameter,D_anch = 4.8526 pm,S3.4,다경로 정체성·s_path 개명 맥락,physics
canonical-event-rate,nu = s*delta; nu_p = 3*pi^4,"S8.0.5,S9",n-fold 법칙 용어,physics
mass-as-resistance,Mass = U_lat / sigma_eff,S13.2,질량 통일 용어,physics
fullness-theorem,Fullness (void-forbidden) theorem,S17.4.0.1,중력·c·관성·0K 공통 뿌리,"physics, cosmology"
cap-mechanism,Gravity cap (g* = c^2 Psi_yield),S17.4,EP-as-result·Beverloo,"physics, geodynamics, cosmology"
four-wall-theorem,Four-wall no-go theorem,S17.4.4,절대 g 비주장 착지점(B3),physics
kill-criteria,"Kill criteria (4, one ARMED)",S1.10,반증성 용어,physics 전 허브 역링크
lock-derive-gate,LOCK -> Derive -> Gate,"S0.2,W.3",방법론 공통 접착제,6개 허브 전부
grades-fhvo,Claim grades [F]/[H]/[V]/[O],W.0,strip 등급 범례,physics(+타 백서 자체 어휘 병기)
single-anchor,Single anchor 632.99 nm (DOF=1),"S1.8,S11",가치문장 핵심 용어,physics
electron-one-second,Electron one-second T_e = 1.0056 s,S12,V14/B7/B8 착지점,physics
vacuum-inflow,Vacuum inflow (gravity as inflow),S17.4,cosmology 분기 접착제,"physics, cosmology"
pre-registered-prediction,Pre-registered light angles chi(633)/chi(532),S10.9,ARMED 예측 용어,physics
