cui,entity,gene_primary,modality,mechanism,mechanism_established,evidence_status,evidence_tier,source_class
C0010674,Cystic fibrosis,CFTR,CFTR modulator therapy (corrector + potentiator) with airway clearance and pancreatic enzyme replacement,CFTR modulators restore folding and channel gating of mutant CFTR protein,yes,disease-modifying (substantial),standard_of_care,GeneReviews Management; FDA label
CN322236,Beta-thalassemia HBB/LCRB,HBB,regular red-blood-cell transfusion with iron chelation,transfusion supplies functional hemoglobin; chelation removes transfusional iron overload,yes,disease-modifying (substantial),definition,cited MedGen clinical_definition; GeneReviews Management
C0024796,Marfan syndrome,FBN1,comprehensive cardiovascular management (beta-blockade or ARB with prophylactic aortic-root surgery),reduces aortic-wall stress; surgical root replacement removes dissection risk,yes,disease-modifying (substantial),definition,cited MedGen clinical_definition; GeneReviews Management
C0029434,Osteogenesis imperfecta,COL1A1,bisphosphonate therapy with orthopedic and rehabilitative management,bisphosphonate anti-resorptive action increases bone mineral density,yes,disease-modifying (partial),standard_of_care,GeneReviews Management; FDA label
C0031485,Phenylketonuria,PAH,lifelong low-phenylalanine diet (with sapropterin/BH4 or pegvaliase in selected individuals),dietary phenylalanine restriction prevents neurotoxic phenylalanine accumulation,yes,disease-modifying (substantial),definition,cited MedGen clinical_definition; GeneReviews Management
C0017205,Gaucher disease,GBA1,enzyme replacement therapy (imiglucerase) with optional substrate reduction (eliglustat/miglustat) — non-neuronopathic type 1,ERT replaces deficient glucocerebrosidase; substrate reduction lowers glucosylceramide synthesis,yes,disease-modifying (substantial),standard_of_care,GeneReviews Management; FDA label
C0002986,Fabry disease,GLA,enzyme replacement therapy (agalsidase) with optional pharmacologic chaperone (migalastat) for amenable variants,ERT replaces alpha-galactosidase A; chaperone stabilizes amenable mutant enzyme,yes,disease-modifying (partial),standard_of_care,GeneReviews Management; FDA label
C0019202,Wilson disease,ATP7B,copper chelation (penicillamine or trientine) with zinc,chelators promote urinary copper excretion; zinc blocks intestinal copper absorption,yes,disease-modifying (substantial),standard_of_care,GeneReviews Management; OMIM clinical management
C3469186,Hemochromatosis type 1,HFE,therapeutic phlebotomy (iron chelation where phlebotomy is contraindicated),phlebotomy depletes excess body iron stores,yes,disease-modifying (substantial),standard_of_care,GeneReviews Management; OMIM clinical management
C0019069,Hereditary factor VIII deficiency disease,F8,"factor VIII replacement, FVIIIa-mimetic prophylaxis (emicizumab), or gene therapy",restores or mimics factor VIII coagulant activity,yes,disease-modifying (substantial),definition,cited MedGen clinical_definition; GeneReviews Management
C0013264,Duchenne muscular dystrophy,DMD,corticosteroid therapy with exon-skipping antisense oligonucleotide for amenable variants and cardiac management,corticosteroids slow muscle degeneration; exon-skipping restores the dystrophin reading frame,yes,disease-modifying (partial),standard_of_care,GeneReviews Management; FDA label
C0221757,Alpha-1-antitrypsin deficiency,SERPINA1,alpha-1-antitrypsin augmentation therapy with smoking cessation; liver transplant for end-stage liver disease,intravenous pooled AAT raises serum and lung antiprotease levels,yes,disease-modifying (partial),standard_of_care,GeneReviews Management; FDA label
C4316899,Cystinosis,CTNS,cystine-depleting therapy (cysteamine) with kidney transplantation for end-stage disease,cysteamine converts intralysosomal cystine to a transportable cysteine-cysteamine mixed disulfide,yes,disease-modifying (substantial),definition,cited MedGen clinical_definition; GeneReviews Management
C0024776,Maple syrup urine disease,BCKDHA,branched-chain-amino-acid-restricted diet with thiamine in responsive individuals and a sick-day protocol,dietary branched-chain amino-acid restriction prevents neurotoxic accumulation,yes,disease-modifying (substantial),definition,cited MedGen clinical_definition; GeneReviews Management
C0268242,"Niemann-Pick disease, type A",SMPD1,supportive care; enzyme replacement (olipudase alfa) is approved for non-CNS ASMD only and does not alter the lethal neurologic course of type A,ERT addresses visceral sphingomyelin storage but the neuronopathic course is not amenable (cited),yes,none,definition,cited MedGen clinical_definition; FDA label
C2751306,Polycystic kidney disease 2,PKD2,"vasopressin V2-receptor antagonist (tolvaptan) in rapid progressors, with supportive renal care and renal replacement","tolvaptan lowers cyst-driving intracellular cAMP, slowing cyst growth",yes,disease-modifying (partial),standard_of_care,GeneReviews Management; FDA label
C0017921,"Glycogen storage disease, type II",GAA,enzyme replacement therapy (alglucosidase alfa / avalglucosidase alfa),"ERT replaces acid alpha-glucosidase, clearing lysosomal glycogen",yes,disease-modifying (substantial),definition,cited MedGen clinical_definition; FDA label
C0268490,Tyrosinemia type I,FAH,nitisinone with a low-tyrosine diet,"nitisinone inhibits 4-hydroxyphenylpyruvate dioxygenase, blocking formation of toxic succinylacetone",yes,disease-modifying (substantial),definition,cited MedGen clinical_definition; FDA label
C0002895,Hb SS disease,HBB,hydroxyurea with transfusion as needed; HSCT or gene therapy with curative intent in selected individuals,"hydroxyurea induces fetal hemoglobin, reducing HbS polymerization",yes,disease-modifying (partial),definition,cited MedGen clinical_definition; FDA label
C0002312,alpha Thalassemia,HBA1,supportive care with intermittent transfusion for HbH disease; transfusion-dependent management for severe forms,transfusion supplies functional hemoglobin,yes,symptomatic,standard_of_care,GeneReviews Management; OMIM clinical management
C0008533,Hereditary factor IX deficiency disease,F9,factor IX replacement or gene therapy (etranacogene dezaparvovec),restores factor IX coagulant activity; AAV gene therapy provides endogenous factor IX,yes,disease-modifying (substantial),definition,cited MedGen clinical_definition; FDA label
C1264039,von Willebrand disease type 1,VWF,"desmopressin with antifibrinolytics, and von Willebrand factor concentrate for procedures",desmopressin releases stored endothelial von Willebrand factor and factor VIII,yes,disease-modifying (substantial),standard_of_care,GeneReviews Management; FDA label
C0001080,Achondroplasia,FGFR3,"CNP analog (vosoritide) for growth, with orthopedic management and foramen-magnum decompression where indicated",vosoritide antagonizes FGFR3 downstream MAPK signaling to promote endochondral growth,yes,disease-modifying (partial),standard_of_care,GeneReviews Management; FDA label
C0268338,"Ehlers-Danlos syndrome, type 4",COL3A1,celiprolol for arterial-event reduction with vascular surveillance; no definitive disease-modifying therapy,celiprolol reduces arterial-wall stress (limited-evidence),yes,disease-modifying (partial),standard_of_care,GeneReviews Management; OMIM clinical management
C0268335,"Ehlers-Danlos syndrome, classic type, 1",COL5A1,"supportive: skin and joint protection, wound care; no disease-modifying therapy",supportive only,no,symptomatic,standard_of_care,GeneReviews Management
C0220685,Achondrogenesis type II,COL2A1,no disease-directed therapy (perinatal-lethal skeletal dysplasia); perinatal palliative care,no disease-directed therapy exists,yes,none,standard_of_care,GeneReviews; OMIM clinical synopsis
C0086795,Hurler syndrome,IDUA,hematopoietic stem cell transplantation (early) with enzyme replacement (laronidase),HSCT supplies enzyme-secreting donor cells (metabolic cross-correction); ERT replaces alpha-L-iduronidase somatically,yes,disease-modifying (substantial),standard_of_care,GeneReviews Management; FDA label
C1961835,Gaucher disease type I,GBA1,enzyme replacement therapy (imiglucerase) with optional substrate reduction (eliglustat/miglustat),ERT replaces deficient glucocerebrosidase; substrate reduction lowers glucosylceramide synthesis,yes,disease-modifying (substantial),standard_of_care,GeneReviews Management; FDA label
C0002066,Alkaptonuria,HGD,nitisinone (homogentisic-acid lowering) with supportive joint care,"nitisinone inhibits 4-hydroxyphenylpyruvate dioxygenase, reducing homogentisic-acid production",yes,disease-modifying (partial),standard_of_care,GeneReviews Management; OMIM clinical management
C0162565,Acute intermittent porphyria,HMBS,"hemin for acute attacks and givosiran (siRNA) for prophylaxis, with trigger avoidance and carbohydrate loading","hemin and givosiran downregulate hepatic ALAS1, lowering neurotoxic ALA and porphobilinogen",yes,disease-modifying (substantial),standard_of_care,GeneReviews Management; FDA label
C0751202,Classic homocystinuria,CBS,pyridoxine (B6) in responsive individuals; methionine-restricted diet with betaine in non-responsive individuals,B6 augments residual CBS activity; betaine remethylates homocysteine; diet limits methionine load,yes,disease-modifying (substantial),standard_of_care,GeneReviews Management; OMIM clinical management
C2936858,21-Hydroxylase-Deficient Congenital Adrenal Hyperplasia,CYP21A2,glucocorticoid replacement with mineralocorticoid in salt-wasting forms,corrects cortisol deficiency and suppresses ACTH-driven adrenal androgen excess; mineralocorticoid corrects salt-wasting,yes,disease-modifying (substantial),standard_of_care,GeneReviews Management; OMIM clinical management
C0010691,Cystinuria,SLC3A1,high fluid intake with urinary alkalinization and thiol drugs (tiopronin or penicillamine),alkalinization raises cystine solubility; thiol drugs form soluble cysteine-drug disulfides,yes,disease-modifying (substantial),standard_of_care,GeneReviews Management; OMIM clinical management
C0917713,Becker muscular dystrophy,DMD,supportive care with cardiac surveillance and management; no Becker-specific disease-modifying therapy established,supportive and cardiac management,no,symptomatic,standard_of_care,GeneReviews Management
C0268487,Tyrosinemia type II,TAT,dietary tyrosine (and phenylalanine) restriction,dietary tyrosine restriction prevents tyrosine crystal deposition in cornea and skin,yes,disease-modifying (substantial),definition,cited MedGen clinical_definition; OMIM clinical management
