# tier4_stress_ledger.csv — VP Recent-Sequence Cascade, Tier-4 mainstream stress-test (Module 52)
# Author: Young Jae Lee · ORCID 0009-0002-7535-8245 · CC BY 4.0
# Each load-bearing claim is exposed to the STRONGEST steelmanned mainstream objection and adjudicated honestly.
# Firewall held: occurrence/absolute timing are [O] both directions; only mechanism + present-tense geometry are load-bearing.
# Mainstream objection is steelmanned (its real positive case), not strawmanned. A refutation is a finding.
# verdict taxonomy: DEGENERATE (survives present-tense but mainstream predicts the same; no discriminating advantage) |
#                   CONCEDE (mainstream objection wins on a load-bearing step; VP holds it [O]) |
#                   COHERENCE_ONLY (survives as [L] internal consistency, not as evidence) |
#                   OPEN (decisive test unbuilt / [O] both ways) | OPEN_BY_DESIGN (firewall caps it; not a task)
# columns: id,target_claim,grade_prior,mainstream_steelman,adjudication,verdict,grade_after
id,target_claim,grade_prior,mainstream_steelman,adjudication,verdict,grade_after
C01,"S0 = a metastable jammed high-pressure water reservoir, the engine's sole admissible energy source","V_substrate/O_release","Ringwoodite and ice-VII are real but pressure-stabilized within their stability fields; transition-zone water is thermodynamically STABLE at depth, not a loaded spring, and there is no known mechanism to release it rapidly as a surface flood. The substrate is conceded; the release is the whole claim and it is unphysical on flood timescales.","Substrate storage survives [V] (mainstream agrees water is stored deep). RELEASE is the entire load-bearing step and the mainstream holds it implausible; VP holds it [O]. This is the concentrated point of failure for the whole chain.","CONCEDE","V_substrate/O_release_HOLD"
C02,"C1: a warm ocean + cold sky makes thick continental ice fast (rate-permitted, not-STOP)","F_rate_capability","Continental glaciation is driven by Milankovitch orbital insolation plus ice-albedo and CO2 feedbacks (Abe-Ouchi 2013 hysteresis), over 1e4-1e5 yr. A warm ocean raises BOTH evaporation and melt; net continental ice GROWTH from a single warm pulse is not demonstrated, and the orbital mechanism is independently evidenced.","VP's 'not-STOP' permission is strictly weaker than a complete, independently evidenced mechanism. The present-tense ice record is explained by both. VP gains no discriminating advantage.","DEGENERATE","F_permitted/non_discriminating"
C03,"H-G: high-latitude ice is bistably insolation-locked; termination is fuel-driven (M33)","V_observed","Ice-sheet hysteresis and threshold termination ARE mainstream glaciology (Abe-Ouchi 2013; Pollard & DeConto). The bistable lock is a standard result, not a VP-specific prediction.","The claim is true but MAINSTREAM-IDENTICAL: M33 reproduces a standard result. It supports the kernel's bistable picture but cannot distinguish VP from the mainstream.","DEGENERATE","V_non_distinctive"
C04,"C2: glacial loading triggers crustal rupture / Atlantic opening","F_trigger/O_near_criticality","Glacial isostatic adjustment causes shallow intraplate seismicity (Fennoscandian postglacial faults, ~M6-7) and reactivates faults, but it does NOT open ocean basins. Rifting is driven by mantle dynamics and far-field plate stress over 1e7 yr. GIA stress (~MPa) is orders below what is needed to rupture a continent; the magnitude leap is enormous.","The magnitude gap from GIA faulting to basin opening is unbridged in present-tense terms. VP survives only IF the crust was already at rupture criticality, which is load-bearing and [O]. The mainstream objection substantially wins on magnitude.","CONCEDE","O_trigger/magnitude_leap_open"
C05,"H-A: the Atlantic opened by void-suction unjamming rupture (inherited engine)","F_inherited","Seafloor spreading = ridge-push + slab-pull + mantle convection, with present-tense evidence: symmetric magnetic-anomaly stripes (Vine-Matthews), the age-vs-distance relation, and GPS plate-motion vectors. The void-suction engine is not needed, and the symmetric stripe record reads as gradual symmetric spreading.","Stripe SYMMETRY and ORDER are present-tense and firewall-clean, but they are DEGENERATE: consistent with gradual spreading AND with a symmetric opening. The stripe AGE-CALIBRATION that would force 'gradual over ~180 Myr' is chronological and is [O] both directions by the firewall. So the mechanism is not refuted by present-tense geometry, but it gains nothing over the mainstream, and the rate stays [O] both ways.","DEGENERATE","F_inherited/non_disc_present"
C06,"The whole-chain energy ledger closes under ONE parameter with ZERO fitted parameters (M17)","L_closes","Energy consistency is NECESSARY but not SUFFICIENT: many scenarios balance an energy budget. 'Closes under one parameter' with the parameter free to absorb the residual is not uniqueness, and a single tunable release mass is doing real work even if no value is curve-fit.","The zero-tuning gate is verifiable (a genuine constraint), but closure is necessary-not-sufficient. It is coherence, not evidence of occurrence.","COHERENCE_ONLY","L_coherence"
C07,"Source rock forms by meltwater-lid stratification -> anoxia -> organic burial (M37)","V_facies/O_rate","Source-rock anoxia is well explained by oceanic anoxic events (Schlanger-Jenkyns): warm climate, sluggish circulation, and high productivity over extended intervals. Finely laminated organic-rich shale is fully consistent with slow OAE deposition; the facies do not discriminate rate.","M37 already conceded this: facies exclude a chaotic-flood deposit but are non-discriminating on rate. The mainstream OAE mechanism is the strongest competitor and it matches the same facies. Confirmed degenerate.","DEGENERATE","V_facies/non_disc(rate_O)"
C08,"Petroleum geography: oil sits where the chain routes meltwater / in restricted seas; the open ocean is barren (M41, the keystone)","V_inputs/constructed_index","Every basin VP 'predicts' (North Sea, Persian Gulf, West Siberia, Atlantic margins) already has a COMPLETE petroleum-system explanation (Magoon & Dow: source-reservoir-seal-trap-timing). The routing argument matches KNOWN oil locations and offers no basin where the two frameworks disagree, so it may be post-hoc pattern-matching rather than a forward prediction.","Matching the real oil map is impressive coherence [V], but matching is not outperforming. With no basin where VP and the mainstream petroleum system make DIFFERENT predictions, the keystone is non-discriminating - the Module 20 structural-degeneracy finding applied to the strongest positive result.","DEGENERATE","V_coherence/non_discriminating"
C09,"Salt thickness co-varies with extension along the margin (M39, r~+0.99)","V_covariation/L_economy","More extension -> more accommodation and more restricted sub-basins -> more evaporite. The mainstream predicts the SAME positive sign by basic basin mechanics; the correlation is expected under both frameworks.","Confirmed degenerate (M39's own finding). The sign carries no discriminating weight; only the single-event economy is a [L] lean.","DEGENERATE","V/non_discriminating"
C10,"Causal ORDERING / superposition matches the predicted sequence (M48, new)","V_concordant/non_discriminating","Standard stratigraphy and basin evolution force the same unit order (rift fill -> source bed -> reservoir/migration); superposition is a general ordering fact, not a VP-specific signature, and the salt position is not even universal.","M48 itself found the order concordant but non-discriminating (the mainstream forces the same order) and refuted the strong fixed-salt reading. The stress-test confirms by construction: order constrains, it does not discriminate.","DEGENERATE","V/non_discriminating"
