from,to,relation,to_anchor,anchor_text,grade
fluid-dynamics,physics,derives_from,,derived from the jammed-vacuum substrate,[F]
cosmology,physics,derives_from,,derived from the jammed-vacuum substrate,[F]
geodynamics,physics,derives_from,,derived from the jammed-vacuum substrate,[F]
chemistry,physics,derives_from,,derived from the jammed-vacuum substrate,[F]
dna,physics,derives_from,,derived from the jammed-vacuum substrate,[F]
neuro,physics,derives_from,,derived from the jammed-vacuum substrate,[F]
geodynamics,geochronology,converges_with,,converges with the cross-chronometer accuracy limit,[L]
cardioresp,dna,cites_gamma,,cites measured promoter gamma (SantaLucia 1998),[L]
circulatory,dna,cites_gamma,,cites measured promoter gamma (SantaLucia 1998),[L]
digestive,dna,cites_gamma,,cites measured promoter gamma (SantaLucia 1998),[L]
musculoskeletal,dna,cites_gamma,,cites measured promoter gamma (SantaLucia 1998),[L]
immune_hematologic,dna,cites_gamma,,cites measured promoter gamma (SantaLucia 1998),[L]
integumentary,dna,cites_gamma,,cites measured promoter gamma (SantaLucia 1998),[L]
reproductive_endocrine,dna,cites_gamma,,cites measured promoter gamma (SantaLucia 1998),[L]
sensory_organ,dna,cites_gamma,,cites measured promoter gamma (SantaLucia 1998),[L]
disease_wp,dna,cites_gamma,,cites promoter gamma for causal disease genes,[L]
cardioresp,neuro,uses_primitive,,reuses the shared FHN relaxation oscillator,[L]
analgesic_threshold,neuro,uses_primitive,,builds on the neuro nociceptor-threshold primitive,[L]
mind,neuro,cites,,"cites the neural emergence chain (one-way, leaf)",[L]
musculoskeletal,analgesic_threshold,inherits_lever,,inherits the three-lever L1/L2/L3 abstraction,[L]
immune_hematologic,analgesic_threshold,inherits_lever,,inherits the three-lever L1/L2/L3 abstraction,[L]
digestive,analgesic_threshold,inherits_lever,,inherits the three-lever L1/L2/L3 abstraction,[L]
homeostasis_ionic,analgesic_threshold,inherits_lever,,inherits the three-lever L1/L2/L3 abstraction,[L]
reproductive_endocrine,disease_wp,gene_key_import,,imports single-gene subtype parameters by gene key,[O]
circulatory,disease_wp,gene_key_import,,imports single-gene subtype parameters by gene key,[O]
digestive,disease_wp,gene_key_import,,imports single-gene subtype parameters by gene key,[O]
cardioresp,disease_wp,gene_key_import,,imports single-gene subtype parameters by gene key,[O]
homeostasis_hemodynamic,circulatory,seam_closure,,closes the SVR/volume arm of the pressure loop,[L]
homeostasis_hemodynamic,cardioresp,seam_closure,,closes the cardiac-output arm of the pressure loop,[L]
homeostasis_ionic,cardioresp,seam_closure,,closes the electrical/pH ionic loop,[L]
homeostasis_ionic,musculoskeletal,seam_closure,,closes the bone-mineral arm of the calcium loop,[L]
homeostasis_thermometabolic,digestive,seam_closure,,closes the energy/metabolism arm,[L]
circadian,cardioresp,gates_setpoint,,gates the defended setpoint on a ~24h cycle,[O]
circadian,circulatory,gates_setpoint,,gates the defended setpoint on a ~24h cycle,[O]
circadian,digestive,gates_setpoint,,gates the defended setpoint on a ~24h cycle,[O]
circadian,musculoskeletal,gates_setpoint,,gates the defended setpoint on a ~24h cycle,[O]
circadian,immune_hematologic,gates_setpoint,,gates the defended setpoint on a ~24h cycle,[O]
circadian,integumentary,gates_setpoint,,gates the defended setpoint on a ~24h cycle,[O]
circadian,reproductive_endocrine,gates_setpoint,,gates the defended setpoint on a ~24h cycle,[O]
circadian,homeostasis_thermometabolic,gates_setpoint,,gates the defended setpoint on a ~24h cycle,[O]
circadian,homeostasis_hemodynamic,gates_setpoint,,gates the defended setpoint on a ~24h cycle,[O]
circadian,homeostasis_ionic,gates_setpoint,,gates the defended setpoint on a ~24h cycle,[O]
circadian,mind,gates_setpoint,,gates the defended setpoint on a ~24h cycle,[O]
aging_senescence,cardioresp,risk_multiplier,,multiplies carcinogenesis risk via senescent drift,[O]
aging_senescence,circulatory,risk_multiplier,,multiplies carcinogenesis risk via senescent drift,[O]
aging_senescence,digestive,risk_multiplier,,multiplies carcinogenesis risk via senescent drift,[O]
aging_senescence,musculoskeletal,risk_multiplier,,multiplies carcinogenesis risk via senescent drift,[O]
aging_senescence,immune_hematologic,risk_multiplier,,multiplies carcinogenesis risk via senescent drift,[O]
aging_senescence,integumentary,risk_multiplier,,multiplies carcinogenesis risk via senescent drift,[O]
aging_senescence,reproductive_endocrine,risk_multiplier,,multiplies carcinogenesis risk via senescent drift,[O]
aging_senescence,sensory_organ,risk_multiplier,,multiplies carcinogenesis risk via senescent drift,[O]
aging_senescence,homeostasis_thermometabolic,risk_multiplier,,multiplies carcinogenesis risk via senescent drift,[O]
aging_senescence,homeostasis_hemodynamic,risk_multiplier,,multiplies carcinogenesis risk via senescent drift,[O]
aging_senescence,homeostasis_ionic,risk_multiplier,,multiplies carcinogenesis risk via senescent drift,[O]
disease_kit,disease_wp,reproduction_tool,,reproduction engine for the disease case set,[L]
