cui,entity,tier,system_class,inclusion_rationale
C0010674,Cystic fibrosis,flagship,respiratory/exocrine,R1 flagship; major multisystem exocrine disease
CN322236,Beta-thalassemia HBB/LCRB,flagship,hematologic,R1 flagship; major hemoglobinopathy
C0024796,Marfan syndrome,flagship,connective_tissue,R1 flagship; classic dominant connective-tissue disease
C0029434,Osteogenesis imperfecta,flagship,skeletal,R1 flagship; classic collagen disorder
C0031485,Phenylketonuria,flagship,metabolic,R1 flagship; archetypal treatable inborn error
C0017205,Gaucher disease,flagship,lysosomal,R1 flagship; most common lysosomal storage disease
C0002986,Fabry disease,flagship,lysosomal,R1 flagship; X-linked lysosomal multisystem disease
C0019202,Wilson disease,flagship,hepatic/metabolic,R1 flagship; treatable copper-overload disorder
C3469186,Hemochromatosis type 1,flagship,hepatic/metabolic,R1 flagship; common iron-overload disorder
C0019069,Hereditary factor VIII deficiency disease,flagship,hematologic,R1 flagship; hemophilia A
C0013264,Duchenne muscular dystrophy,flagship,musculoskeletal,R1 flagship; severe X-linked muscular dystrophy
C0221757,Alpha-1-antitrypsin deficiency,flagship,hepatic/respiratory,R1 flagship; protease-inhibitor deficiency
C4316899,Cystinosis,flagship,renal/lysosomal,R1 flagship; nephropathic lysosomal disease
C0024776,Maple syrup urine disease,flagship,metabolic,R1 flagship; branched-chain aminoacidopathy
C0268242,"Niemann-Pick disease, type A",flagship,lysosomal,R1 flagship; sphingomyelin storage disease
C2751306,Polycystic kidney disease 2,flagship,renal,R1 flagship; dominant cystic kidney disease
C0017921,"Glycogen storage disease, type II",flagship,metabolic/muscular,R1 flagship; Pompe disease
C0268490,Tyrosinemia type I,flagship,hepatic/metabolic,R1 flagship; treatable hepatorenal aminoacidopathy
C0002895,Hb SS disease,extension,hematologic,sickle cell disease; high-burden hemoglobinopathy
C0002312,alpha Thalassemia,extension,hematologic,major hemoglobinopathy complementing beta-thalassemia
C0008533,Hereditary factor IX deficiency disease,extension,hematologic,hemophilia B; classic X-linked coagulopathy
C1264039,von Willebrand disease type 1,extension,hematologic,most common inherited bleeding disorder
C0001080,Achondroplasia,extension,skeletal,most common skeletal dysplasia; FGFR3 gain-of-function
C0268338,"Ehlers-Danlos syndrome, type 4",extension,connective_tissue,vascular EDS; high-mortality COL3A1 disorder
C0268335,"Ehlers-Danlos syndrome, classic type, 1",extension,connective_tissue,classic EDS; COL5A1
C0220685,Achondrogenesis type II,extension,skeletal,severe COL2A1 chondrodysplasia
C0086795,Hurler syndrome,extension,lysosomal,MPS I; archetypal mucopolysaccharidosis
C1961835,Gaucher disease type I,extension,lysosomal,gene-resolved (GBA1) non-neuronopathic Gaucher
C0002066,Alkaptonuria,extension,metabolic,classic inborn error (HGD); ochronosis
C0162565,Acute intermittent porphyria,extension,metabolic,prototypic hepatic porphyria (HMBS)
C0751202,Classic homocystinuria,extension,metabolic,CBS-deficiency multisystem aminoacidopathy
C2936858,21-Hydroxylase-Deficient Congenital Adrenal Hyperplasia,extension,endocrine,most common CAH (CYP21A2)
C0010691,Cystinuria,extension,renal,classic amino-acid transport disorder; cystine stones
C0917713,Becker muscular dystrophy,extension,musculoskeletal,allelic milder dystrophinopathy
C0268487,Tyrosinemia type II,extension,metabolic,oculocutaneous tyrosinemia (TAT)
