cui,entity,gbd_health_state,dominant_untreated_sequela,evidence_basis
C0013264,Duchenne muscular dystrophy,Motor impairment: severe,"progressive loss of ambulation to wheelchair dependence; the motor-disability axis (cognition relatively spared for this axis)","GeneReviews NBK1119 (Dystrophinopathies) Clinical Description: loss of independent ambulation, wheelchair use by early teens"
C0017921,"Glycogen storage disease, type II",Motor impairment: severe,"infantile-onset profound generalised hypotonia and progressive muscle weakness (motor disability); cognition spared, so motor-only (not motor+cognitive)","GeneReviews NBK1261 (Pompe Disease) Clinical Description: progressive muscle weakness and motor impairment; intellect typically normal"
C0086795,Hurler syndrome,Motor plus cognitive impairments: severe,"progressive COMBINED neurocognitive regression and motor/skeletal impairment (dysostosis multiplex, joint contractures)","GeneReviews NBK1162 (MPS I) Clinical Description: progressive cognitive decline with motor and skeletal disease in the severe (Hurler) phenotype"
C0031485,Phenylketonuria,Intellectual disability: severe,"untreated classic PKU: severe-to-profound, irreversible intellectual disability as the single dominant sequela","GeneReviews NBK1504 (Phenylalanine Hydroxylase Deficiency): untreated classic PKU causes profound, irreversible intellectual disability"
CN322236,Beta-thalassemia HBB/LCRB,Anemia: severe,"transfusion-dependent severe chronic anemia (the disease IS the anemia in its untreated natural history)","MedGen clinical_definition: severe anemia from infancy requiring regular transfusion (transfusion-dependent beta-thalassemia / Cooley anemia)"
C0002312,alpha Thalassemia,Anemia: moderate,"HbH disease: chronic moderate hemolytic anemia (the surviving non-hydrops phenotype); Hb Bart hydrops lethality is captured separately on the mortality axis","MedGen clinical_definition: HbH disease chronic hemolytic anemia of moderate severity"
C0268242,"Niemann-Pick disease, type A",Motor plus cognitive impairments: severe,"infantile neurovisceral form: severe progressive psychomotor and cognitive regression with loss of milestones","GeneReviews NBK1370 (Acid Sphingomyelinase Deficiency, type A): rapidly progressive neurodegeneration, loss of motor and cognitive milestones"
C0024776,Maple syrup urine disease,Intellectual disability: severe,"untreated/poorly-controlled classic MSUD survivors: severe intellectual disability / neurological impairment (acute metabolic lethality scored separately on the mortality axis)","MedGen clinical_definition: without treatment, neurological damage and intellectual disability"
C0019069,Hereditary factor VIII deficiency disease,"Musculoskeletal problems: generalised, moderate","severe hemophilia A untreated: recurrent hemarthroses leading to chronic hemophilic arthropathy as the dominant functional sequela (treatment benefit scored separately via R_treat)","GeneReviews NBK1404 (Hemophilia A): recurrent joint bleeding leads to progressive, disabling arthropathy without prophylaxis"
C0008533,Hereditary factor IX deficiency disease,"Musculoskeletal problems: generalised, moderate","severe hemophilia B untreated: recurrent hemarthroses leading to chronic hemophilic arthropathy as the dominant functional sequela (treatment benefit scored separately via R_treat)","GeneReviews NBK1495 (Hemophilia B): recurrent joint bleeding leads to progressive, disabling arthropathy without prophylaxis"
