entity,medgen_cui,organ_system_hint,candidate_class,cns_score,cns_signals,cns_negated,sys_score,sys_signals,decision,reason,evidence_source
Sandhoff disease,C0036161,unclassified_systemic,storage,3,dev_regression;intellectual_primary;seizures,false,0,,move_out,"primary CNS neurodegenerative storage confirmed from MedGen definition (CNS signals: dev_regression,intellectual_primary,seizures; no systemic-organ signal)",medgen:esummary:definition:2026-06-17
Tay-Sachs disease,C0039373,lysosomal,storage,4,dev_regression;cherry_red_spot;intellectual_primary;seizures,false,0,,move_out,"primary CNS neurodegenerative storage confirmed from MedGen definition (CNS signals: dev_regression,cherry_red_spot,intellectual_primary,seizures; no systemic-organ signal)",medgen:esummary:definition:2026-06-17
"Tay-Sachs disease, variant AB",C0268275,lysosomal,storage,3,neurodegeneration;dev_regression;seizures,false,0,,move_out,"primary CNS neurodegenerative storage confirmed from MedGen definition (CNS signals: neurodegeneration,dev_regression,seizures; no systemic-organ signal)",medgen:esummary:definition:2026-06-17
Aspartylglucosaminuria,C0268225,unclassified_systemic,storage,2,intellectual_primary;seizures,false,3,skeletal;hematologic;joint_connective,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: skeletal,hematologic,joint_connective; CNS: intellectual_primary,seizures) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
Batten-Turner congenital myopathy,C0027127,unclassified_systemic,storage,0,,false,0,,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
Beta-D-mannosidosis,C4048196,unclassified_systemic,storage,1,neurodegeneration,false,0,,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: name-class; CNS: neurodegeneration) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
Fabry disease,C0002986,lysosomal,storage,0,,false,3,cardiac_organ;corneal;renal,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
Farber lipogranulomatosis,C0268255,immunologic,storage,2,intellectual_primary;seizures,false,1,joint_connective,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: joint_connective; CNS: intellectual_primary,seizures) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
Fucosidosis,C0016788,unclassified_systemic,storage,4,psychomotor_regression;progressive_neuro;intellectual_primary;seizures,false,4,hepatosplenomegaly;skeletal;pulmonary;joint_connective,keep_in_crossref_cns,"systemic storage with CNS involvement (systemic: hepatosplenomegaly,skeletal,pulmonary,joint_connective; CNS: psychomotor_regression,progressive_neuro,intellectual_primary,seizures) -> keep IN, cross-reference CNS axis",medgen:esummary:definition:2026-06-17
Gaucher disease,C0017205,lysosomal,storage,1,primary_cns_disease,true,6,hepatosplenomegaly;skeletal;cardiac_organ;corneal;pulmonary;hematologic,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
Gaucher disease due to saposin C deficiency,C1864651,metabolic|lysosomal,storage,0,,false,0,,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
Gaucher disease perinatal lethal,C1842704,lysosomal,storage,1,primary_cns_disease,true,6,hepatosplenomegaly;skeletal;cardiac_organ;corneal;pulmonary;hematologic,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
Gaucher disease type I,C1961835,lysosomal,storage,1,primary_cns_disease,true,6,hepatosplenomegaly;skeletal;cardiac_organ;corneal;pulmonary;hematologic,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
Gaucher disease type II,C0268250,lysosomal,storage,1,primary_cns_disease,true,6,hepatosplenomegaly;skeletal;cardiac_organ;corneal;pulmonary;hematologic,keep_in,systemic storage; no primary-CNS signal in definition,medgen:esummary:definition:2026-06-17
