code,slug,h1,subj45_auto,needs_subj45,vps_n,vps_ids_status,one_liner_pool,cards_union
rf,rf-read-first-what-this-is,"Read First --- What This Is, and How to Read the Numbers","Read First --- What This Is, and How to Read",Y,0,,,
wsum,wsum-executive-summary,W. Executive Summary,W. Executive Summary,,5,W.1[one-page charter]; W.2[ledger (summary table)]; W.2.1[SSOT master table]; W.3[verdict charter + claim ]; W.4[constraints charter],"Everything starts locked, gets derived, and is qualified by a verdict --- the wh | One table separates what is frozen from what is earned. | No section may recompute these rows; cite by symbol + lock\_id. | FAIL or INCONCLUSIVE can never be cited as evidence --- and rigor is defined as  | The document polices its own conventions: a locked standard form is never promot","VP-C-001..VP-C-025 (group A), VP-C-046, VP-C-048, VP-C-049, VP-C-050, VP-C-055, VP-C-057"
w0,w0-result-scorecard-one-page-summary,W.0 Result Scorecard (one-page summary),W.0 Result Scorecard (one-page summary),,0,,,
w5,w5-anti-circular-logic-chain-light,"W.5 Anti-Circular-Logic Chain: from ""light only"" to ""Higgs out""","W.5 Anti-Circular-Logic Chain: from ""light",Y,0,,,
w6,w6-provenance-ledger-which-numbers-come,W.6 Provenance Ledger: which numbers come from where,W.6 Provenance Ledger: which numbers come,Y,0,,,
00,00-prologue-how-use-this-document,Prologue (how to use this document),Prologue (how to use this document),,5,0.4[flow declaration]; 0.1[definitions (claim-quali]; 0.2[reading-order convention]; 0.3[pipeline charter (ASCII ]; 0.5[preemptive rebuttals (fr],"A LOCK is never edited --- it is only ever reborn as a new version. | Every sentence carries a qualification, and hypotheses cannot be promoted after  | Extensions may stack on the core but can neither strengthen nor weaken it. | The whole book runs one assembly line, and the line only moves forward. | The likely objections are answered before the body begins.","VP-C-005, VP-C-048, VP-C-049, VP-C-050, VP-C-057"
02,02-notation-terminology-scale-hierarchy,"Notation, Terminology, and Scale Hierarchy","Notation, Terminology, and Scale Hierarchy",,7,2.5[unit-registry schema]; 2.6[scale-registry schema]; 2.7[conflict procedure (no i]; 2.1[global standards [D]]; 2.2[canonical-input definiti]; 2.3[realization-input defini]; 2.4[geometry-meaning lock],"Even the notation of a unit is a locked field, not a habit. | Canonical scales have definitions; realized scales have values --- the registry  | Conflicts are not repaired by interpretation --- they are quarantined and re-ver | One spelling, one meaning, one place --- enforced by registry, not by care. | Canonical inputs are triple-locked before any derivation may touch them.","VP-C-001, VP-C-004, VP-C-008, VP-C-044, VP-C-046, VP-C-049, VP-C-050"
03,03-axioms-primitives-volume-particle-lattice,Axioms and Primitives (Volume Particle / Lattice / Quantum Cell),Axioms and Primitives (Volume Particle /,Y,5,3.5[priority lock]; 3.1[[A]/[D] lock]; 3.2[[F] jamming vocabulary]; 3.3[[F] geometry conventions]; 3.4[[F] multipath anchor ide],"The cell lives inside the axioms --- it may aggregate, never legislate. | Three axioms and a list of forbidden smuggled assumptions. | The regime switches every later Gate checks are defined here. | Diameter is diameter: the G-SYM tripwire is set here. | One quantum diameter, three independent roads, one stated width.","VP-C-003, VP-C-008, VP-C-022, VP-C-033, VP-C-044, VP-C-048, VP-C-056"
04,04-semantic-layer-mapping-1-1,Semantic layer mapping (1:1) and the closure system,Semantic layer mapping (1:1) and the closure,Y,8,4.4[mandatory template]; 4.5[closure definition (5 du]; 4.6[DAG principles]; 4.7[failure-mode taxonomy (p]; 4.8[global rules (why Gates)]; 4.1[layered semantics [D]]; 4.2[closure charter]; 4.3[regime definition],"No template, no map --- meaning transfers only on the registered form. | Five duties make a closure usable; missing one makes it noise. | Choices stack forward only --- no closure may feed its own input. | Every device ships with the list of ways it dies. | No authority blesses a closure --- only a Gate it named in advance.","VP-C-043, VP-C-046, VP-C-049, VP-C-050, VP-C-057, VP-C-058"
sp,sp-jamming-spine-verified-physical-backbone,"Jamming Spine --- The Verified Physical Backbone: from an Independently Measured Lattice Stiffness to the Speed of Light $c²=B/ρ$ and the Forced Proton Radius $rₚ=(2/π)λ_(C,p)$",Jamming Spine --- The Verified Physical,Y,0,,,
