lock_id,symbol,value,meaning,grade,canon_slug,match_token
delta,δ,1/π²,Double-rectification survival constant (product of two half-wave means; a max-entropy measure).,F,05-geometric-rectification-constants-single-source,1/π²
alpha,α,2/π,Geometric rectification ratio (full-wave to half-wave mean); the single rectification anchor.,F,05-geometric-rectification-constants-single-source,2/π
nu-p,ν_p,3π⁴,Canonical proton event-rate from the n-fold law ν_n = nπ^(2(n−1)).,F,08-discrete-proton-structure-82-7,3π⁴
mp-me,m_p/m_e,6π⁵,Proton-electron mass ratio as 2π·ν_p = 6π⁵ (−19 ppm vs measurement).,F,13-mass-u-lat-m-h,6π⁵
d-anch,D,4.8526 pm,Quantum (anchor) diameter that fixes the lattice length scale.,F,03-axioms-primitives-volume-particle-lattice,4.8526
anchor,λ_anchor,632.99 nm,Single empirical anchor (DOF = 1); the only measured length input to the framework.,F,11-realization-units-t-rcross,632.99
spine,c²,B/ρ,Speed of light as the lattice elastic-wave speed (bulk modulus over density); simulation-validated.,V,sp-jamming-spine-verified-physical-backbone,B/ρ
phi-jam,φ_jam,0.633,Isostatic jamming/packing fraction (z to 6); distinct from 2/π = 0.6366.,V,11-realization-units-t-rcross,0.633
alpha-em,α_em,≈ 1/137,Electromagnetic fine-structure constant; a measured input — NOT derived (it runs with energy).,O,14-force-lattice-tension-1-r2,1/137
cap,g*,c²·Ψ_yield,Gravity-cap mechanism: a yield-limited acceleration ceiling (Beverloo-type discharge).,F,17-extensions-optional-reading,Ψ_yield
