vps_id,kind,status,in_out,one_line,cards
W.1,curated,one-page charter,"in: --- / out: LOCK$\to$Derive$\to$Gate triad; reading routes A/B/C; NON-LOCK modules (App.~K, L) flagged","Everything starts locked, gets derived, and is qualified by a verdict --- the whole document in one box.","VP-C-049, VP-C-048"
W.2,curated,ledger (summary table),"in: --- / out: LOCK inputs ($D_{\mathrm{anch}}$, $r_p$, $a$, $\Delta t$, \ldots) vs derived outputs ($r_e$, $\lambda_C$, $U_{\mathrm{lat}}$, RCROSS, \ldots) side by side",One table separates what is frozen from what is earned.,"VP-C-055, VP-C-049"
W.2.1,curated,SSOT master table,"in: --- / out: every locked quantity, one row each",No section may recompute these rows; cite by symbol + lock\_id.,VP-C-001..VP-C-025 (group A)
W.3,curated,verdict charter + claim tiers (W.3.0: C0--C3),in: --- / out: PASS/FAIL/INCONCLUSIVE only; required gates G-SYM/G-LOCK/G-REG/G-RECT/G-RCROSS/G-REP; single-snapshot sealing format (Ch.~16),FAIL or INCONCLUSIVE can never be cited as evidence --- and rigor is defined as claim scope plus verification duty.,"VP-C-049, VP-C-057"
W.4,curated,constraints charter,in: --- / out: reporting/mapping conventions $\neq$ derivations; post-result definition changes forbidden (versioning only),The document polices its own conventions: a locked standard form is never promoted to a derivation.,"VP-C-050, VP-C-046"
0.4,curated,flow declaration,"in: --- / out: stage roles of LOCK/derive/Gate; a LOCK changes only as a new version, old conclusions stay bound to their original LOCK",A LOCK is never edited --- it is only ever reborn as a new version.,"VP-C-050, VP-C-049"
0.1,curated,definitions (claim-qualification system),in: --- / out: claim levels fixed by definition; retroactive [H]$\to$[F] promotion forbidden; every [H] must ship assumptions + observable prediction + regime,"Every sentence carries a qualification, and hypotheses cannot be promoted after the fact.","VP-C-048, VP-C-057"
0.2,curated,reading-order convention,in: --- / out: required route (core chain; never modified by extensions) vs optional route (independent conclusions only where their own Gates pass),Extensions may stack on the core but can neither strengthen nor weaken it.,"VP-C-057, VP-C-049"
0.3,curated,pipeline charter (ASCII map),in: --- / out: one-way Input(LOCK)$\to$Derive$\to$Verify(Gate)$\to$Seal pipeline + file/registry overview,"The whole book runs one assembly line, and the line only moves forward.","VP-C-049, VP-C-050"
0.5,curated,preemptive rebuttals (front-loaded in v0.5.0),"in: --- / out: the most likely first-pass misreadings, each with why it fails (e.g., no free exponent exists for ``fitting $\pi$-powers'')",The likely objections are answered before the body begins.,"VP-C-048, VP-C-005"
2.5,curated,unit-registry schema,"in: --- / out: per-symbol fields --- dimension, unit\_system, unit\_name, conversion\_policy (notation itself is locked)","Even the notation of a unit is a locked field, not a habit.",VP-C-046
2.6,curated,scale-registry schema,"in: --- / out: canonical vs realized vs derived scale entries (e.g., S-L-a, S-T-dt, S-L-Danch) with definition/value separation",Canonical scales have definitions; realized scales have values --- the registry keeps them from trading places.,"VP-C-046, VP-C-004"
2.7,curated,conflict procedure (no interpretation),in: detected conflicts / out: FAIL/INCONCLUSIVE verdict + isolation of dependents + new lock\_id versioning; mixing lock\_ids forbidden,Conflicts are not repaired by interpretation --- they are quarantined and re-versioned.,"VP-C-050, VP-C-049"
2.1,curated,global standards [D],"in: --- / out: symbol/unit/object/scale registries that structurally prevent overloaded spellings, split notations, unit ambiguity, diameter-vs-radius mixing","One spelling, one meaning, one place --- enforced by registry, not by care.","VP-C-046, VP-C-050"
2.2,curated,canonical-input definition,"in: --- / out: CANON inputs = starting points of evidence with meaning lock + unit lock + value lock, all simultaneously",Canonical inputs are triple-locked before any derivation may touch them.,"VP-C-050, VP-C-044"
2.3,curated,realization-input definition,"in: internal coordinates / out: realization\_lock items ($a$, $\Delta t$ family) mapping internal units to external ones, with procedural attribution (channel + verdict rule)",Realization anchors carry their own birth certificate.,"VP-C-004, VP-C-001"
2.4,curated,geometry-meaning lock,"in: --- / out: radius/diameter/cell-length standard definitions, allowed conversions, ambiguity $\Rightarrow$ immediate FAIL","A symbol may be a radius or a diameter --- never both, never silently.","VP-C-046, VP-C-008"
3.5,curated,priority lock,in: --- / out: coupling order VP axioms $\to$ cell definition $\to$ derived quantities; retroactive moves forbidden,"The cell lives inside the axioms --- it may aggregate, never legislate.","VP-C-022, VP-C-056"
3.1,curated,[A]/[D] lock,"in: --- / out: axioms --- infinite rigidity, full packing, local rule --- plus locked primitive terms and a blacklist of assumptions that may not sneak in",Three axioms and a list of forbidden smuggled assumptions.,"VP-C-056, VP-C-048"
3.2,curated,[F] jamming vocabulary,"in: axioms VP-A1..A4 / out: fluidity $\phi$, switch $\chi_{\mathrm{ST}}$, Point-J",The regime switches every later Gate checks are defined here.,VP-C-033
3.3,curated,[F] geometry conventions,in: VP diameter $a$ / out: $r_0:=D_{\mathrm{anch}}/2$; equal-diameter vs equal-volume views,Diameter is diameter: the G-SYM tripwire is set here.,VP-C-003
3.4,curated,[F] multipath anchor identity,"in: three routes / out: $D=2\lambda_{C,e}=6\pi^{6}r_p=2\pi\lambda/A$ ($\sim$0.04\%)","One quantum diameter, three independent roads, one stated width.","VP-C-044, VP-C-008"
4.4,curated,mandatory template,"in: --- / out: 1:1 semantic-map registry template (map\_id, from/to layer, items) required in analysis\_lock; missing template $\Rightarrow$ unusable map","No template, no map --- meaning transfers only on the registered form.","VP-C-046, VP-C-057"
4.5,curated,closure definition (5 duties),"in: --- / out: explicit choice, declared I/O types, locked regime, built-in failure modes, Gate-required --- all five or unusable",Five duties make a closure usable; missing one makes it noise.,"VP-C-057, VP-C-049"
4.6,curated,DAG principles,"in: --- / out: closure dependencies one-way, acyclic, SSOT-located, with conclusion attribution (closure\_ids + analysis\_lock\_id)",Choices stack forward only --- no closure may feed its own input.,"VP-C-050, VP-C-057"
4.7,curated,failure-mode taxonomy (pre-registered),"in: --- / out: standard labels FM-SYM/FM-SCOPE/FM-NONUNIQUE/FM-NODEF/FM-NUMERIC$\,\ldots$ attached at design time",Every device ships with the list of ways it dies.,"VP-C-049, VP-C-058"
4.8,curated,global rules (why Gates),in: --- / out: closures/maps gain legitimacy only by passing pre-registered Gates; no Gates / no failure modes / no DAG version $\Rightarrow$ no conclusion,No authority blesses a closure --- only a Gate it named in advance.,VP-C-049
4.1,curated,layered semantics [D],in: --- / out: L0--L3 layer architecture for pressure/flux/deficit/charge + minimal operational record format,"Pressure and charge are bookkeeping at a declared layer, never free-floating words.","VP-C-043, VP-C-046"
4.2,curated,closure charter,"in: --- / out: a closure = documented selection rule (not an extra hypothesis); types, stacks, and DAG placement","A closure is a confession of choice, sealed.","VP-C-057, VP-C-049"
4.3,curated,regime definition,"in: --- / out: regime as a coordinate tuple $\mathcal{R}$ (axes, not slogans); validity declared per tuple",``Rigid regime'' is not a phrase here --- it is a tuple with axes.,VP-C-057
5.0,curated,[D] reading convention (decoder),in: --- / out: fixed reading of closed forms --- $\pi^{k}$ = $k$ rotations averaged; each factor 2 carries a named convention (diameter/projection); $\delta=1/\pi^2$ derived in \S5.2,"Every $\pi$ is an averaged rotation and every 2 has a name --- the constants are sentences, not knobs.","VP-C-005, VP-C-006"
5.4,curated,reuse rules,"in: $\alpha$, $\delta$ from canon\_lock / out: reference-first citation, no substitution-as-derivation, locked averaging conventions, role restriction to rectification",$\alpha$ and $\delta$ may be cited everywhere and re-derived nowhere.,"VP-C-005, VP-C-006, VP-C-050"
5.5,curated,invalidation rules,"in: --- / out: re-definition, symbol overloading ($\delta$ vs $\delta_{\mathrm{gap}}$), lock mixing, unlocked procedure $\Rightarrow$ output immediately invalid","Four ways to misuse the rectification constants, each fatal on contact.","VP-C-005, VP-C-049"
5.1,curated,[F] forced integral,in: uniform angle measure / out: $\alpha=\langle|\cos|\rangle=2/\pi$,The full-cycle magnitude average --- not the fine-structure constant.,VP-C-005
5.2,curated,[F] forced integral,"in: two half-wave constraints (AND, product measure) / out: $\delta=1/\pi^{2}$; triggers T1--T5",Double rectification survives at $1/\pi^{2}$ under the max-entropy measure.,VP-C-006
5.3,curated,[F] insertion map,"in: $\alpha,\delta$ / out: the only slots where rectification may act",Where the two constants enter --- and nowhere else.,"VP-C-005, VP-C-006"
6.5,curated,allowed conclusion forms,"in: --- / out: dimensionless ratios, internal selection formulas $R_p=\alpha L_q$, numerics only under REALIZATION/Gate; external doctrines banned as grounds","Agreement with data is a result here, never a reason.","VP-C-018, VP-C-049"
6.1,curated,LOCK $L_q=\lambda_C$ (G1--G4; $\eta:=1$),in: phase completion / out: identification with no new constant,"The one identification the continuum chain needs, declared and gated.",VP-C-018
6.2,curated,[F] balance,in: $\Pi_4$ collapse (with $1/\alpha$) vs $\Pi_5$ rigidity / out: $R_p/L_q=\alpha=2/\pi$,Two pressures cross once; the crossing is the proton radius.,"VP-C-027, VP-C-026"
6.3,curated,[F] numbers,in: $\lambda_C=1.32135$ fm / out: $R_p=0.8412$ fm; $\sigma/L_q^{2}=4/\pi$,"The locked radius and its invariant, two lines from the balance.","VP-C-007, VP-C-018"
6.4,curated,admissibility [C-82/7],in: discrete structure / out: conditions incl. tetra-$K_4$ rigidity certificate,What the continuum result requires the integer core to satisfy.,VP-C-023
7.5,curated,definitions,"in: $\Delta t$ (realization\_lock), $\nu$ / out: $T_{\mathrm{build}}:=N\,\Delta t$ (tick), event-rate form, 3-sector auxiliaries",Build time is counting times the tick --- any other aggregation needs its own closure.,"VP-C-024, VP-C-004"
