entity,modality,mechanism,evidence_status,grade,provenance,gene,cui,efficacy_offset_e,R_treat,evidence_tier,definition_corroborated,definition_category,definition_phrase,mechanism_established,source_class,obstacle_for_L,nbk,accession_initial_posting,accession_last_revision,mgmt_corroboration_terms
Achondrogenesis type II,no disease-directed therapy (perinatal-lethal skeletal dysplasia); perinatal palliative care,no disease-directed therapy exists,none,[H],established standard of care; source class: GeneReviews; OMIM clinical synopsis; accession-dated [L] verification deferred (FDA label / GeneReviews Management / OMIM clinical management / Orphanet),COL2A1,C0220685,0.0000,1.0000,standard_of_care,no,,,yes,GeneReviews; OMIM clinical synopsis,evidence_status 'none' (no disease-directed therapy exists); GeneReviews chapter NBK540447 confirms supportive/absent-therapy management. No therapy to accession-date; grade retained [H] as an honest inference about absence of therapy.,NBK540447,"April 25, 2019","October 24, 2024",
"Niemann-Pick disease, type A",supportive care; enzyme replacement (olipudase alfa) is approved for non-CNS ASMD only and does not alter the lethal neurologic course of type A,ERT addresses visceral sphingomyelin storage but the neuronopathic course is not amenable (cited),none,[H],"cited MedGen clinical_definition (in-package [L] source) — matched treatment-efficacy phrase: ""Enzyme replacement"" [modality: enzyme replacement therapy]",SMPD1,C0268242,0.0000,1.0000,definition,yes,modality,Enzyme replacement,yes,cited MedGen clinical_definition; FDA label,evidence_status 'none' (no disease-directed therapy exists); GeneReviews chapter NBK1370 confirms supportive/absent-therapy management. No therapy to accession-date; grade retained [H] as an honest inference about absence of therapy.,NBK1370,"December 7, 2006","April 27, 2023",
alpha Thalassemia,supportive care with intermittent transfusion for HbH disease; transfusion-dependent management for severe forms,transfusion supplies functional hemoglobin,symptomatic,[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1435; initial posting November 1, 2005; last revision May 23, 2024; retrieved 2026-06-17; Management section (corroborating term(s): transfusion)",HBA1,C0002312,0.1000,0.9000,standard_of_care,no,,,yes,GeneReviews Management; OMIM clinical management,,NBK1435,"November 1, 2005","May 23, 2024",transfusion
Becker muscular dystrophy,supportive care with cardiac surveillance and management; no Becker-specific disease-modifying therapy established,supportive and cardiac management,symptomatic,[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1119; initial posting September 5, 2000; last revision January 20, 2022; retrieved 2026-06-17; Management section (corroborating term(s): cardiac)",DMD,C0917713,0.1000,0.9000,standard_of_care,no,,,no,GeneReviews Management,,NBK1119,"September 5, 2000","January 20, 2022",cardiac
Osteogenesis imperfecta,bisphosphonate therapy with orthopedic and rehabilitative management,bisphosphonate anti-resorptive action increases bone mineral density,disease-modifying (partial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1295; initial posting January 28, 2005; last revision May 29, 2025; retrieved 2026-06-17; Management section (corroborating term(s): bisphosphonate, orthopedic, rehabilitative)",COL1A1,C0029434,0.3000,0.7000,standard_of_care,no,,,yes,GeneReviews Management; FDA label,,NBK1295,"January 28, 2005","May 29, 2025","bisphosphonate, orthopedic, rehabilitative"
Duchenne muscular dystrophy,corticosteroid therapy with exon-skipping antisense oligonucleotide for amenable variants and cardiac management,corticosteroids slow muscle degeneration; exon-skipping restores the dystrophin reading frame,disease-modifying (partial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1119; initial posting September 5, 2000; last revision January 20, 2022; retrieved 2026-06-17; Management section (corroborating term(s): corticosteroid, variants, cardiac)",DMD,C0013264,0.3000,0.7000,standard_of_care,no,,,yes,GeneReviews Management; FDA label,,NBK1119,"September 5, 2000","January 20, 2022","corticosteroid, variants, cardiac"
Fabry disease,enzyme replacement therapy (agalsidase) with optional pharmacologic chaperone (migalastat) for amenable variants,ERT replaces alpha-galactosidase A; chaperone stabilizes amenable mutant enzyme,disease-modifying (partial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1292; initial posting August 5, 2002; last revision April 11, 2024; retrieved 2026-06-17; Management section (corroborating term(s): enzyme, replacement, agalsidase, chaperone)",GLA,C0002986,0.3000,0.7000,standard_of_care,no,,,yes,GeneReviews Management; FDA label,,NBK1292,"August 5, 2002","April 11, 2024","enzyme, replacement, agalsidase, chaperone, migalastat, variants"
Tyrosinemia type I,nitisinone with a low-tyrosine diet,"nitisinone inhibits 4-hydroxyphenylpyruvate dioxygenase, blocking formation of toxic succinylacetone",disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1515; initial posting July 24, 2006; last revision November 20, 2025; retrieved 2026-06-17; Management section (corroborating term(s): nitisinone, diet)",FAH,C0268490,0.5500,0.4500,definition,yes,modality,nitisinone,yes,cited MedGen clinical_definition; FDA label,,NBK1515,"July 24, 2006","November 20, 2025","nitisinone, diet"
Polycystic kidney disease 2,"vasopressin V2-receptor antagonist (tolvaptan) in rapid progressors, with supportive renal care and renal replacement","tolvaptan lowers cyst-driving intracellular cAMP, slowing cyst growth",disease-modifying (partial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1246; initial posting January 10, 2002; last revision September 29, 2022; retrieved 2026-06-17; Management section (corroborating term(s): vasopressin, antagonist, tolvaptan, rapid)",PKD2,C2751306,0.3000,0.7000,standard_of_care,no,,,yes,GeneReviews Management; FDA label,,NBK1246,"January 10, 2002","September 29, 2022","vasopressin, antagonist, tolvaptan, rapid"
Classic homocystinuria,pyridoxine (B6) in responsive individuals; methionine-restricted diet with betaine in non-responsive individuals,B6 augments residual CBS activity; betaine remethylates homocysteine; diet limits methionine load,disease-modifying (substantial),[L],"accession-dated to GeneReviews Management section. GeneReviews NBK1524; initial posting January 15, 2004; last revision September 25, 2025; retrieved 2026-06-17; Management section (corroborating term(s): pyridoxine, responsive, diet, betaine)",CBS,C0751202,0.5500,0.4500,standard_of_care,no,,,yes,GeneReviews Management; OMIM clinical management,,NBK1524,"January 15, 2004","September 25, 2025","pyridoxine, responsive, diet, betaine, nonresponsive"
