case_id,chronometer,mechanism_class,material,site_or_system,observed_bias,magnitude,age_independent_screen,resolution,key_reference
RC_NEVADA_SNAIL,radiocarbon,old_carbon_reservoir,freshwater snail shell (Melanoides),"artesian springs, southern Nevada (living animals)",older,"~27,000 yr apparent age on LIVING shells (3.3 percent modern carbon)",dissolved-inorganic-carbon / hard-water context,recognised as reservoir artefact; date discarded,"Riggs 1984, Science 224:58"
RC_RIVER_MOLLUSK,radiocarbon,old_carbon_reservoir,river mollusk shell,"freshwater rivers (living animals)",older,"living shells dated ~2,300 yr; river-shell errors up to several thousand yr",humus/limestone carbon source identified,flagged as indeterminate initial 14C; carbonate dates de-prioritised,"Keith & Anderson 1963, Science 141:634"
RC_FRESHWATER_FRE,radiocarbon,old_carbon_reservoir,aquatic mollusk vs paired wood/charcoal,"Four Mile Creek, Ohio and global FRE studies",older,"hundreds to >1000 yr freshwater reservoir offset, locality dependent",paired terrestrial (short-lived) anchor,quantify offset from live specimens + paired dating,"Philippsen 2013, Heritage Science 1:24"
RC_MARINE_RESERVOIR,radiocarbon,old_carbon_reservoir,marine shell/coral/foram,global ocean surface,older,"~400-500 yr global marine reservoir; regional dR up to several hundred yr",known-age live-collected specimens; species ecology,Marine20 curve + regional dR databases,"Heaton et al. 2020, Radiocarbon 62:779; Mangerud 1972"
RC_FISH_DIET_BONE,radiocarbon,old_carbon_reservoir,human bone (freshwater-fish diet) / fish-cooked pottery,"riverine/lacustrine archaeological sites",older,"reservoir age transmitted into consumer tissue; centuries",dietary isotopes (d13C/d15N) flag aquatic input,diet-dependent reservoir correction,"Philippsen 2013, Heritage Science 1:24"
RC_POLYNESIA,radiocarbon,inbuilt_age_old_wood,charcoal of unidentified/long-lived wood vs short-lived material,"East Polynesia (15 archipelagos)",older,"settlement chronologies inflated by centuries; spread varied by >1000 yr",material identification (short-lived only; rat-gnawed seeds),chronometric hygiene: restrict to reliable short-lived samples,"Wilmshurst et al. 2008 PNAS 105:7676; 2011 PNAS 108:1815"
RC_VINDIJA_BONE,radiocarbon,young_carbon_contamination,Neanderthal bone collagen,"Vindija Cave G1, Croatia",younger,"legacy collagen ~29-28 ka; ultrafiltration ~32 ka; hydroxyproline >48 ka (still too young after UF)",molecular specificity (single amino acid),compound-specific (hydroxyproline) AMS dating,"Higham et al. 2006; Deviese et al. 2017 PNAS 114:10606"
RC_ZLATY_KUN,radiocarbon,young_carbon_contamination,modern-human cranium collagen,"Zlaty kun, Czechia",younger,"radiocarbon erroneously young (bovine glue / intrusive carbon)",genomic cross-check + clean fraction,re-dating + genome-based age (~45 ka),"Prufer et al. 2021, Nat Ecol Evol 5:820"
ZR_BISHOP_RESIDENCE,zircon_UPb,inheritance_antecryst_residence,zircon (SIMS core spots vs ID-TIMS bulk),"Bishop Tuff, Long Valley, USA",older,"SIMS core-targeted ages ~850-892 ka vs eruption ~767 ka; >50-100 ka apparent residence",crystal position (rim vs core) + CL zoning,attribution by growth zone; rims date eruption,"Crowley et al. 2007 Geology 35:1123; Simon & Reid 2005"
ZR_CERRO_GALAN_XENO,zircon_UPb,inheritance_xenocryst,zircon xenocryst cores overgrown by eruption-age rims,"Cerro Galan, NW Argentina",older,"basement xenocrysts/antecryst cores overgrown by eruption-age rims; autocryst interiors up to several 100 ka older",CL imaging of cores vs rims,exclude xenocryst/antecryst cores; date eruption-age growth,"Folkes et al. 2011, J Volcanol Geotherm Res 206:136"
ZR_LAVA_CREEK_ANTE,zircon_UPb,inheritance_antecryst,zircon cores (antecryst) vs faces (autocryst),"Lava Creek Tuff, Yellowstone",older,"cores 668.8 ka vs faces 626.5 ka (eruption); +42 ka if cores included",crystal position (faces vs cores),classify by position; faces give eruption age,"Matthews et al. 2015 G-cubed 16:2508"
ZR_DETRITAL_MDA,zircon_UPb,inheritance_detrital,detrital zircon population,"sedimentary strata (general)",older,"bulk population dominated by inherited grains; only youngest bound deposition",youngest concordant grain cluster (kc>=3),youngest-grain-cluster MDA; flag Pb-loss young bias,"Dickinson & Gehrels 2009 EPSL 288:115; Coutts et al. 2019 Geosci Front 10:1421"
ZR_PB_LOSS,zircon_UPb,daughter_loss_pb_loss,radiation-damaged zircon domains,"high-U / metamict zircon (general)",younger,"episodic/continuous Pb loss drives discordance; apparent age too young",concordance + annealing release spectra,chemical abrasion (anneal + partial dissolution),"Mattinson 2005 Chem Geol 220:47; Krogh 1982 GCA 46:637"
ZR_COMMON_PB_YOUNG,zircon_UPb,common_pb,low-radiogenic young zircon (204Pb-bearing),"IsoplotR UPb4 example suite",older,"raw 206/238 ~429 Ma vs 207/235 ~1300 Ma (67 percent discordant) before correction",measured 204Pb / f206,204Pb common-Pb correction (assumed composition),"Vermeesch 2018 Geosci Front 9:1479; Stacey & Kramers 1975"
